scenario,threshold_eur,retained_count,excluded_count,retained_pct,mean_eur,median_eur,standard_deviation_eur,maximum_eur,mean_change_pct_vs_full
full_distribution,,51864,0,100.0,193.84400316211628,126.0,554.6422405360897,88494.55,0.0
up_to_p99_9,3525.9548900000414,51812,52,99.89973777572112,185.42536072724462,126.0,213.47173112056745,3523.63,-4.3429986471291295
up_to_p99_5,1581.3509499999864,51604,260,99.49868887860558,177.38715351523138,126.0,168.98957910785842,1577.33,-8.489738851050067
up_to_p99,1141.5629000000006,51345,519,98.99930587690883,171.74773921511348,125.57,149.2985660615199,1141.5,-11.398992791395859
