field,non_missing_values,missing_values,parse_failures
last_scraped,56873,0,0
calendar_last_scraped,56873,0,0
price_quote_checkin_date,54261,2612,0
price_quote_checkout_date,54261,2612,0
first_review,40372,16501,0
last_review,40372,16501,0
